id,ScientificName,CommonName,AcceptedSymbol,Symbol,State,Category,FamilyCommonName,Duration,GrowthHabit,NativeStatus,ActiveGrowthPeriod,FlowerColor,FoliageColor,FoliagePorositySummer,FoliagePorosityWinter,FruitColor,GrowthRate,MaxHeight20Yrs,MatureHeight,Lifespan,ResproutAbility,AdaptedCoarseSoils,AdaptedMediumSoils,AdaptedFineSoils,AnaerobicTolerance,DroughtTolerance,MoistureUse,Precipitation_Minimum,Precipitation_Maximum,RootDepthMinimum,ShadeTolerance,TemperatureMinimum,BloomPeriod,PalatableBrowseAnimal,PalatableGrazeAnimal,PalatableHuman
7665,Quercus ×demareei,,QUDE2,QUDE2,"<strong>USA</strong> (AR, LA, NC)",Dicot,Beech family,Perennial,Tree,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7666,Minuartia michauxii var. texana,Texas stitchwort,MIMIT,MIMIT,"<strong>USA</strong> (AR, KS, MN, MO, NE, NM, OK, SD, TX)",Dicot,Pink family,"Annual, Perennial",Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7667,Haplohymenium,haplohymenium moss,HAPLO7,HAPLO7,,Moss,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7668,Cryptantha micrantha var. lepida,redroot cryptantha,CRMIL2,CRMIL2,<strong>CAN</strong> (CA),Dicot,Borage family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7669,Astragalus racemosus var. treleasei,Trelease's milkvetch,ASRAT,ASRAT,"<strong>USA</strong> (UT, WY)",Dicot,Pea family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7670,Sida,fanpetals,SIDA,SIDA,"<strong>USA</strong> (AL, AR, AZ, CT, DC, DE, FL, GA, HI, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MO, MS, NC, NE, NJ, NM, NY, OH, OK, PA, SC, TN, TX, VA, WV), <strong>USA+</strong> (PR, VI), <strong>CAN</strong> (ON, CA)",Dicot,Mallow family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7671,Phacelia congesta,caterpillars,PHCO2,PHCO2,"<strong>USA</strong> (NM, OK, TX)",Dicot,Waterleaf family,"Annual, Biennial",Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7672,Lepechinia calycina,woodbalm,LECA3,LECA3,<strong>CAN</strong> (CA),Dicot,Mint family,Perennial,"Subshrub, Shrub",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7673,Erigeron acris ssp. droebachiensis,,ERACD4,ERACD4,,Dicot,Aster family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7674,Carlowrightia parvifolia,littleleaf wrightwort,CAPA51,CAPA51,<strong>USA</strong> (TX),Dicot,Acanthus family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7675,Achillea millefolium var. pacifica,Pacific yarrow,ACMIP,ACMIP,"<strong>USA</strong> (AK, ID, OR, WA), <strong>CAN</strong> (CA)",Dicot,Aster family,Perennial,Forb/herb,"L48 (N), AK (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7676,Trillium undulatum,painted trillium,TRUN,TRUN,"<strong>USA</strong> (CT, GA, KY, MA, MD, ME, MI, NC, NH, NJ, NY, OH, PA, RI, SC, TN, VA, VT, WV), <strong>CAN</strong> (NB, NS, ON, PE, QC)",Monocot,Lily family,Perennial,Forb/herb,"L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7677,Quercus dentata,Daimyo oak,QUDE4,QUDE4,,Dicot,Beech family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7678,Minuartia muscorum,Dixie stitchwort,MIMU6,MIMU6,"<strong>USA</strong> (AR, KS, KY, LA, MO, OK, TN, TX)",Dicot,Pink family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7679,Haplohymenium triste,haplohymenium moss,HATR4,HATR4,,Moss,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7680,Cryptantha micrantha var. micrantha,redroot cryptantha,CRMIM,CRMIM,"<strong>USA</strong> (AZ, NM, NV, OR, TX, UT), <strong>CAN</strong> (CA)",Dicot,Borage family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7681,Astragalus rafaelensis,San Rafael milkvetch,ASRA3,ASRA3,"<strong>USA</strong> (CO, UT)",Dicot,Pea family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7682,Sida abutifolia,spreading fanpetals,SIAB,SIAB,"<strong>USA</strong> (AZ, FL, NM, OK, TX), <strong>USA+</strong> (PR, VI), <strong>CAN</strong> (CA)",Dicot,Mallow family,"Annual, Perennial",Forb/herb,"L48 (I), PR (N), VI (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7683,Phacelia constancei,Constance's phacelia,PHCO19,PHCO19,"<strong>USA</strong> (AZ, CO, UT)",Dicot,Waterleaf family,Biennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7684,Lepechinia cardiophylla,Santa Ana pitchersage,LECA4,LECA4,<strong>CAN</strong> (CA),Dicot,Mint family,Perennial,"Subshrub, Shrub",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7685,Erigeron acris ssp. kamtschaticus,bitter fleabane,ERACK3,ERACK3,"<strong>USA</strong> (AK), <strong>CAN</strong> (AB, BC, LB, MB, NB, NT, NU, ON, QC, SK, YT)",Dicot,Aster family,"Annual, Biennial, Perennial",Forb/herb,"AK (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7686,Carlowrightia serpyllifolia,Trans-Pecos wrightwort,CASE3,CASE3,<strong>USA</strong> (TX),Dicot,Acanthus family,Perennial,Subshrub,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7687,Achillea millefolium var. puberula,common yarrow,ACMIP2,ACMIP2,<strong>CAN</strong> (CA),Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7688,Trillium vaseyi,sweet wakerobin,TRVA2,TRVA2,"<strong>USA</strong> (AL, GA, NC, SC, TN, VA)",Monocot,Lily family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7689,Quercus depressipes,Davis Mountain oak,QUDE3,QUDE3,<strong>USA</strong> (TX),Dicot,Beech family,Perennial,"Tree, Shrub",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7690,Minuartia nuttallii,Nuttall's sandwort,MINU4,MINU4,"<strong>USA</strong> (CO, ID, MT, NV, OR, UT, WA, WY), <strong>CAN</strong> (AB, BC, CA)",Dicot,Pink family,Perennial,Forb/herb,"L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7691,Haplomitrium,,HAPLO5,HAPLO5,,Liverwort,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7692,Cryptantha micromeres,pygmyflower cryptantha,CRMI2,CRMI2,<strong>CAN</strong> (CA),Dicot,Borage family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7693,Astragalus rattanii,Rattan's milkvetch,ASRA4,ASRA4,<strong>CAN</strong> (CA),Dicot,Pea family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7694,Sida acuta,common wireweed,SIAC3,SIAC3,"<strong>USA</strong> (AL, FL, GA, HI, LA, MS, NJ, PA, SC, TX), <strong>USA+</strong> (PR, VI)",Dicot,Mallow family,Perennial,"Subshrub, Shrub, Forb/herb","L48 (N), HI (I), PR (N), VI (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7695,Phacelia cookei,Cooke's phacelia,PHCO20,PHCO20,<strong>CAN</strong> (CA),Dicot,Waterleaf family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7696,Lepechinia fragrans,island pitchersage,LEFR,LEFR,<strong>CAN</strong> (CA),Dicot,Mint family,Perennial,"Subshrub, Shrub",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7697,Erigeron acris ssp. politus,bitter fleabane,ERACP2,ERACP2,"<strong>USA</strong> (AK, CO, ID, ME, MI, MN, MT, SD, WA, WY)",Dicot,Aster family,"Annual, Biennial, Perennial",Forb/herb,"L48 (N), AK (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7698,Carlowrightia texana,Texas wrightwort,CATE15,CATE15,"<strong>USA</strong> (NM, TX)",Dicot,Acanthus family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7699,Achillea nobilis,noble yarrow,ACNO,ACNO,"<strong>USA</strong> (MN, MT)",Dicot,Aster family,Perennial,Forb/herb,L48 (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7700,Trillium viride,wood wakerobin,TRVI4,TRVI4,"<strong>USA</strong> (IL, MO, NY)",Monocot,Lily family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7701,Quercus ×discreta,,QUDI,QUDI,"<strong>USA</strong> (KY, MO)",Dicot,Beech family,Perennial,Tree,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7702,Minuartia nuttallii ssp. fragilis,brittle sandwort,MINUF,MINUF,"<strong>USA</strong> (NV, OR, WA), <strong>CAN</strong> (CA)",Dicot,Pink family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7703,Haplomitrium hookeri,,HAHO4,HAHO4,,Liverwort,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7704,Cryptantha microstachys,Tejon cryptantha,CRMI3,CRMI3,<strong>CAN</strong> (CA),Dicot,Borage family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7705,Astragalus rattanii var. jepsonianus,Jepson's milkvetch,ASRAJ,ASRAJ,<strong>CAN</strong> (CA),Dicot,Pea family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7706,Sida aggregata,savannah fanpetals,SIAG,SIAG,"<strong>USA</strong> (FL), <strong>USA+</strong> (VI)",Dicot,Mallow family,Perennial,"Subshrub, Shrub, Forb/herb","L48 (N), VI (I?)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7707,Phacelia corymbosa,serpentine phacelia,PHCO3,PHCO3,"<strong>USA</strong> (OR), <strong>CAN</strong> (CA)",Dicot,Waterleaf family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7708,Lepechinia ganderi,San Diego pitchersage,LEGA,LEGA,<strong>CAN</strong> (CA),Dicot,Mint family,Perennial,"Subshrub, Shrub",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7709,Erigeron aequifolius,Hall's fleabane,ERAE,ERAE,<strong>CAN</strong> (CA),Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7710,Carlowrightia torreyana,Torrey's wrightwort,CATO13,CATO13,<strong>USA</strong> (TX),Dicot,Acanthus family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7711,Achillea odorata,,ACOD2,ACOD2,,Dicot,Aster family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7712,Trillium viridescens,tapertip wakerobin,TRVI5,TRVI5,"<strong>USA</strong> (AR, KS, MO, OK, TX)",Monocot,Lily family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7713,Quercus ×diversiloba,,QUDI2,QUDI2,<strong>USA</strong> (TX),Dicot,Beech family,Perennial,Tree,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7714,Minuartia nuttallii ssp. gracilis,brittle sandwort,MINUG,MINUG,"<strong>USA</strong> (NV, OR), <strong>CAN</strong> (CA)",Dicot,Pink family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7715,Haplomitrium hookeri var. hookeri,,HAHOH,HAHOH,,Liverwort,,,Nonvascular,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7716,Cryptantha milo-bakeri,Milo Baker's cryptantha,CRMI4,CRMI4,"<strong>USA</strong> (OR), <strong>CAN</strong> (CA)",Dicot,Borage family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7717,Astragalus rattanii var. rattanii,Rattan's milkvetch,ASRAR3,ASRAR3,<strong>CAN</strong> (CA),Dicot,Pea family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7718,Sida antillensis,Antilles fanpetals,SIAN5,SIAN5,<strong>USA</strong> (FL),Dicot,Mallow family,Perennial,"Subshrub, Forb/herb",L48 (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7719,Phacelia covillei,Coville's phacelia,PHCO30,PHCO30,"<strong>USA</strong> (DC, MD, NC, VA)",Dicot,Waterleaf family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7720,Lepechinia hastata,pakaha,LEHA,LEHA,<strong>USA</strong> (HI),Dicot,Mint family,Perennial,Forb/herb,HI (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7721,Erigeron algidus,stalked fleabane,ERAL18,ERAL18,"<strong>USA</strong> (NV), <strong>CAN</strong> (CA)",Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7722,Carlquistia,,CARLQ,CARLQ,<strong>CAN</strong> (CA),Dicot,Aster family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7723,Achillea pannonica,,ACPA11,ACPA11,<strong>CAN</strong> (QC),Dicot,Aster family,,,CAN (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7724,Trimezia,trimezia,TRIME,TRIME,"<strong>USA</strong> (FL, HI), <strong>USA+</strong> (PR)",Monocot,Iris family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7725,Quercus douglasii,blue oak,QUDO,QUDO,<strong>CAN</strong> (CA),Dicot,Beech family,Perennial,Tree,L48 (N),Spring,Yellow,Gray-Green,Moderate,Porous,Brown,Slow,16,60,Long,Yes,Yes,Yes,Yes,None,High,Low,20,40,32,Intolerant,2,Spring,Low,,No
7726,Minuartia nuttallii ssp. gregaria,brittle sandwort,MINUG2,MINUG2,"<strong>USA</strong> (OR), <strong>CAN</strong> (CA)",Dicot,Pink family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7727,Haplopappus,haplopappus,HAPLO11,HAPLO11,,Dicot,Aster family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7728,Cryptantha minima,little cryptantha,CRMI5,CRMI5,"<strong>USA</strong> (CO, KS, MT, NE, NM, OK, SD, TX, WY), <strong>CAN</strong> (AB, SK)",Dicot,Borage family,Annual,Forb/herb,"L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7729,Astragalus ravenii,Raven's milkvetch,ASRA5,ASRA5,<strong>CAN</strong> (CA),Dicot,Pea family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7730,Sida ciliaris,bracted fanpetals,SICI,SICI,"<strong>USA</strong> (FL, HI, TX), <strong>USA+</strong> (PR, VI)",Dicot,Mallow family,"Annual, Perennial","Subshrub, Forb/herb","L48 (N), HI (I), PR (N), VI (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7731,Phacelia crenulata,cleftleaf wildheliotrope,PHCR,PHCR,"<strong>USA</strong> (AZ, CO, NM, NV, TX, UT), <strong>CAN</strong> (CA)",Dicot,Waterleaf family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7732,Lepianthes,lepianthes,LEPIA,LEPIA,"<strong>USA</strong> (FL), <strong>USA+</strong> (PR, VI)",Dicot,Pepper family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7733,Erigeron aliceae,Alice Eastwood's fleabane,ERAL3,ERAL3,"<strong>USA</strong> (OR, WA), <strong>CAN</strong> (CA)",Dicot,Aster family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7734,Carlquistia muirii,Muir's raillardiopsis,CAMU27,CAMU27,<strong>CAN</strong> (CA),Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7735,Achillea ptarmica,sneezeweed,ACPT,ACPT,"<strong>USA</strong> (AK, CT, ID, IN, MA, ME, MI, MN, MT, NH, NJ, NY, OH, PA, RI, VT, WA, WI, WV), <strong>CAN</strong> (AB, LB, MB, NB, NF, NS, ON, PE, QC), <strong>DEN</strong> (GL), <strong>FRA</strong> (SPM)",Dicot,Aster family,Perennial,Forb/herb,"L48 (I), AK (I), CAN (I), SPM (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7736,Trimezia martinicensis,Martinique trimezia,TRMA6,TRMA6,"<strong>USA</strong> (FL, HI), <strong>USA+</strong> (PR)",Monocot,Iris family,Perennial,Forb/herb,"L48 (I), HI (I), PR (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7737,Quercus dumosa,coastal sage scrub oak,QUDU,QUDU,<strong>CAN</strong> (CA),Dicot,Beech family,Perennial,"Tree, Shrub",L48 (N),Spring,Yellow,Green,Dense,Dense,Brown,Slow,9,9,Long,Yes,Yes,Yes,No,None,High,Low,12,24,30,Intolerant,22,Early Spring,,,No
7738,Minuartia nuttallii ssp. nuttallii,Nuttall's sandwort,MINUN2,MINUN2,"<strong>USA</strong> (CO, ID, MT, OR, UT, WA, WY), <strong>CAN</strong> (AB, BC)",Dicot,Pink family,Perennial,Forb/herb,"L48 (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7739,Haplophyton,haplophyton,HAPLO3,HAPLO3,"<strong>USA</strong> (AZ, NM, TX)",Dicot,Dogbane family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7740,Cryptantha mirabunda,wonderful cryptantha,CRMI7,CRMI7,<strong>USA</strong> (NV),Dicot,Borage family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7741,Astragalus recurvus,recurved milkvetch,ASRE2,ASRE2,<strong>USA</strong> (AZ),Dicot,Pea family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7742,Sida cordata,heartleaf fanpetals,SICO7,SICO7,"<strong>USA</strong> (MD), <strong>USA+</strong> (PR)",Dicot,Mallow family,Perennial,Forb/herb,"L48 (N), PR (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7743,Phacelia crenulata var. ambigua,purplestem phacelia,PHCRA2,PHCRA2,"<strong>USA</strong> (AZ, NV, UT), <strong>CAN</strong> (CA)",Dicot,Waterleaf family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7744,Lepianthes peltata,monkey's hand,LEPE4,LEPE4,"<strong>USA</strong> (FL), <strong>USA+</strong> (PR, VI)",Dicot,Pepper family,Perennial,"Subshrub, Shrub, Forb/herb","L48 (N), PR (N), VI (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7745,Erigeron allocotus,Big Horn fleabane,ERAL13,ERAL13,"<strong>USA</strong> (MT, WY)",Dicot,Aster family,Perennial,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7746,Carludovica,carludovica,CARLU,CARLU,<strong>USA+</strong> (PR),Monocot,Panama Hat family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7747,Achillea pyrenaica,,ACPY5,ACPY5,,Dicot,Aster family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7748,Trimmatothele,trimmatothele lichen,TRIMM,TRIMM,,Lichen,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7749,Quercus dumosa var. dumosa,coastal sage scrub oak,QUDUD,QUDUD,<strong>CAN</strong> (CA),Dicot,Beech family,Perennial,"Tree, Shrub",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7750,Minuartia obtusiloba,twinflower sandwort,MIOB2,MIOB2,"<strong>USA</strong> (AK, AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY), <strong>CAN</strong> (AB, BC, MB, NT, NU, YT, CA)",Dicot,Pink family,Perennial,"Subshrub, Forb/herb","L48 (N), AK (N), CAN (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7751,Haplophyton crooksii,cockroachplant,HACR3,HACR3,"<strong>USA</strong> (AZ, NM, TX)",Dicot,Dogbane family,Perennial,"Subshrub, Shrub",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7752,Cryptantha mohavensis,Mojave cryptantha,CRMO7,CRMO7,<strong>CAN</strong> (CA),Dicot,Borage family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7753,Astragalus reflexus,drooping milkvetch,ASRE3,ASRE3,<strong>USA</strong> (TX),Dicot,Pea family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7754,Sida cordifolia,?ilima,SICO,SICO,"<strong>USA</strong> (AL, FL, HI, TX), <strong>USA+</strong> (PR, VI)",Dicot,Mallow family,"Annual, Perennial","Subshrub, Shrub, Forb/herb","L48 (N), HI (I), PR (N), VI (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7755,Phacelia crenulata var. angustifolia,cleftleaf phacelia,PHCRA,PHCRA,"<strong>USA</strong> (AZ, UT)",Dicot,Waterleaf family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7756,Lepidium,pepperweed,LEPID,LEPID,"<strong>USA</strong> (AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), <strong>USA+</strong> (PR, VI), <strong>CAN</strong> (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT, CA), <strong>DEN</strong> (GL), <strong>FRA</strong> (SPM)",Dicot,Mustard family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7757,Erigeron alpiniformis,alpine fleabane,ERAL17,ERAL17,"<strong>CAN</strong> (NU), <strong>DEN</strong> (GL)",Dicot,Aster family,,Forb/herb,"CAN (N), GL (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7758,Carludovica palmata,Panama hat plant,CAPA65,CAPA65,<strong>USA+</strong> (PR),Monocot,Panama Hat family,Perennial,Forb/herb,PR (I),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7759,Achillea setacea,,ACSE10,ACSE10,,Dicot,Aster family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7760,Trimmatothele umbellulariae,trimmatothele lichen,TRUM,TRUM,,Lichen,,,Lichenous,NA(N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7761,Quercus dumosa var. elegantula,coastal sage scrub oak,QUDUE,QUDUE,<strong>CAN</strong> (CA),Dicot,Beech family,Perennial,"Tree, Shrub",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7762,Minuartia patula,pitcher's stitchwort,MIPA6,MIPA6,"<strong>USA</strong> (AL, AR, GA, IL, IN, KS, KY, LA, MN, MO, MS, OH, OK, PA, TN, TX, VA, WI)",Dicot,Pink family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7763,Haplostachys,haplostachys,HAPLO4,HAPLO4,<strong>USA</strong> (HI),Dicot,Mint family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7764,Cryptantha muricata,pointed cryptantha,CRMU2,CRMU2,"<strong>USA</strong> (AZ, NV), <strong>CAN</strong> (CA)",Dicot,Borage family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7765,Astragalus remotus,Spring Mountain milkvetch,ASRE4,ASRE4,<strong>USA</strong> (NV),Dicot,Pea family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7766,Sida elliottii,Elliott's fanpetals,SIEL,SIEL,"<strong>USA</strong> (AL, AR, FL, GA, IL, LA, MO, MS, NC, SC, TN, TX, VA)",Dicot,Mallow family,Perennial,"Subshrub, Forb/herb",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7767,Phacelia crenulata var. corrugata,cleftleaf wildheiotrope,PHCRC,PHCRC,"<strong>USA</strong> (AZ, CO, NM, NV, TX, UT)",Dicot,Waterleaf family,Annual,Forb/herb,L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7768,Lepidium africanum,African pepperwort,LEAF,LEAF,"<strong>USA</strong> (HI, SC)",Dicot,Mustard family,"Annual, Perennial",Forb/herb,"L48 (I), HI (I)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7769,Erigeron alpinus,,ERAL20,ERAL20,,Dicot,Aster family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7770,Carmichaelia,carmichaelia,CARMI2,CARMI2,,Dicot,Pea family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7771,Achillea sibirica,Siberian yarrow,ACSI,ACSI,"<strong>USA</strong> (AK, MN, MT, ND)",Dicot,Aster family,Perennial,Forb/herb,"L48 (N), AK (N)",,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7772,Triodanis,Venus' looking-glass,TRIOD,TRIOD,"<strong>USA</strong> (AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), <strong>CAN</strong> (BC, NB, ON, QC, CA)",Dicot,Bellflower family,,,,,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
7773,Quercus durata,leather oak,QUDU4,QUDU4,<strong>CAN</strong> (CA),Dicot,Beech family,Perennial,"Tree, Shrub",L48 (N),,,,,,,,0,0,,,,,,,,,0,0,0,,0,,,,
